Region,Country,Indicator,Value,gdp_per_capita
Europe,Portugal,exports_per_capita,6576.602314,23145.04082
Middle East & North Africa,Qatar,exports_per_capita,25213.07314,64781.7332
Europe,Romania,exports_per_capita,3995.952529,12919.52964
Europe,Russia,exports_per_capita,2869.753958,11584.99538
 Africa,Rwanda,exports_per_capita,89.99230865,801.656187
 Africa,S. Sudan,exports_per_capita,152.7641603,1119.651333
Latin America & Caribbean,Saint Kitts and Nevis,exports_per_capita,1221.827478,19896.4957
Latin America & Caribbean,Saint Vincent and the Grenadines,exports_per_capita,378.5830178,7463.537831
Middle East & North Africa,Saudi Arabia,exports_per_capita,7715.0283,23139.79866
 Africa,Senegal,exports_per_capita,249.3142738,1446.830965
Europe,Serbia,exports_per_capita,1945.173211,7402.354559
 Africa,Seychelles,exports_per_capita,5030.148352,17401.72151
 Africa,Sierra Leone,exports_per_capita,61.10079462,504.4625434
Asia,Singapore,exports_per_capita,66793.27465,65233.28244
Europe,Slovakia,exports_per_capita,16426.40671,19329.0968
Europe,Slovenia,exports_per_capita,21581.45168,25739.24781
Pacific,Solomon Islands,exports_per_capita,669.6909522,2127.538508
 Africa,Somalia,exports_per_capita,12.29454921,126.9249205
 Africa,South Africa,exports_per_capita,1517.747231,31761.97769
Asia,South Korea,exports_per_capita,10576.18919,6001.400814
Europe,Spain,exports_per_capita,7135.578742,29613.67114
Asia,Sri Lanka,exports_per_capita,559.1491511,3853.083693
 Africa,Sudan,exports_per_capita,55.87779589,441.5056034
Latin America & Caribbean,Suriname,exports_per_capita,3869.546837,6854.906561
 Africa,Swaziland,exports_per_capita,1799.735915,3837.026994
Europe,Sweden,exports_per_capita,15896.49346,51610.06606
Europe,Switzerland,exports_per_capita,36265.68555,81993.72715
Middle East & North Africa,Syria,exports_per_capita,119.9954882,2032.623489
Asia,Taiwan,exports_per_capita,13881.88367,26910
Asia,Tajikistan,exports_per_capita,110.0900694,870.7875893
 Africa,Tanzania,exports_per_capita,84.51437332,1122.12181
Asia,Thailand,exports_per_capita,3527.859278,7808.192916
 Africa,The Gambia,exports_per_capita,46.055147,751.2946884
Asia,Timor-Leste,exports_per_capita,116.5767249,1294.188934
 Africa,Togo,exports_per_capita,133.1847758,675.5422133
Pacific,Tonga,exports_per_capita,189.2237097,4364.015561
Middle East & North Africa,Tunisia,exports_per_capita,1263.531721,3317.541013
Asia,Turkey,exports_per_capita,2144.567238,9042.492983
Asia,Turkmenistan,exports_per_capita,1658.044834,6966.635411
 Africa,Uganda,exports_per_capita,75.5274146,776.7685759
Europe,Ukraine,exports_per_capita,1144.790608,3659.031312
Middle East & North Africa,United Arab Emirates,exports_per_capita,28324.01555,43103.32306
Europe,United Kingdom,exports_per_capita,6905.950034,42300.26713
North America,United States of America,exports_per_capita,4971.63843,65118.35833
Latin America & Caribbean,Uruguay,exports_per_capita,2210.793585,16190.12696
Asia,Uzbekistan,exports_per_capita,478.0514194,1724.841134
Pacific,Vanuatu,exports_per_capita,156.2779795,3058.065675
Latin America & Caribbean,Venezuela,exports_per_capita,578.6691068,16054.49051
Asia,Vietnam,exports_per_capita,2714.983131,2715.276036
 Africa,Zambia,exports_per_capita,397.2322604,1291.343357
 Africa,Zimbabwe,exports_per_capita,293.280111,1463.98591
Asia,Afghanistan,imports_per_capita,187.7809039,502.1154869
Europe,Albania,imports_per_capita,2048.997897,5352.857411
Middle East & North Africa,Algeria,imports_per_capita,979.3244603,3948.343279
Pacific,Andorra,imports_per_capita,22676.50294,11466.69071
 Africa,Angola,imports_per_capita,440.8775051,2973.59116
Latin America & Caribbean,Antigua and Barbuda,imports_per_capita,6177.945246,17790.30931
Latin America & Caribbean,Argentina,imports_per_capita,1086.915781,10006.14897
Asia,Armenia,imports_per_capita,1860.731638,4622.733493
Latin America & Caribbean,Australia,imports_per_capita,8689.004232,54907.10191
Pacific,Austria,imports_per_capita,20537.01158,50277.27509
Europe,Azerbaijan,imports_per_capita,1183.528012,4793.58702
Asia,Bahamas,imports_per_capita,7603.421794,32933.48601
Middle East & North Africa,Bahrain,imports_per_capita,7349.896419,23503.97713
Asia,Bangladesh,imports_per_capita,365.1965834,1855.739824
Latin America & Caribbean,Barbados,imports_per_capita,5555.458895,18148.24493
Europe,Belarus,imports_per_capita,4163.494041,6663.295293
Europe,Belgium,imports_per_capita,36774.12113,46116.69923
Latin America & Caribbean,Belize,imports_per_capita,2464.615168,4815.163711
 Africa,Benin,imports_per_capita,300.7291804,1219.432672
Asia,Bhutan,imports_per_capita,1244.155063,3243.231126
Latin America & Caribbean,Bolivia,imports_per_capita,838.1634883,3552.068762
Europe,Bosnia and Herz.,imports_per_capita,3401.315342,6073.265203
 Africa,Botswana,imports_per_capita,2795.001078,7961.33814
Latin America & Caribbean,Brazil,imports_per_capita,866.1286458,8717.186278
Asia,Brunei,imports_per_capita,9989.050903,31086.75108
Europe,Bulgaria,imports_per_capita,5350.261821,9737.601351
 Africa,Burkina Faso,imports_per_capita,223.5152361,774.8396902
 Africa,Burundi,imports_per_capita,74.28442061,261.2474725
Asia,Cambodia,imports_per_capita,1321.254037,1643.121389
 Africa,Cameroon,imports_per_capita,212.8693273,1497.909176
North America,Canada,imports_per_capita,12286.29664,46194.72523
 Africa,Cape Verde,imports_per_capita,1430.96871,3603.781794
 Africa,Central African Rep.,imports_per_capita,95.34621442,467.9074406
 Africa,Chad,imports_per_capita,135.7615039,709.5403101
Latin America & Caribbean,Chile,imports_per_capita,3640.514138,14896.45387
Asia,China,imports_per_capita,1443.106224,10261.67913
Latin America & Caribbean,Colombia,imports_per_capita,1035.762689,6432.387583
 Africa,Comoros,imports_per_capita,255.1744996,1393.522372
 Africa,Congo,imports_per_capita,573.6227066,2011.072399
Latin America & Caribbean,Costa Rica,imports_per_capita,3169.851974,12238.37496
 Africa,Côte d'Ivoire,imports_per_capita,397.543069,2286.162777
Europe,Croatia,imports_per_capita,6826.839765,14853.23984
Latin America & Caribbean,Cuba,imports_per_capita,948.2090679,8821.818891
Europe,Cyprus,imports_per_capita,7592.770667,27858.371
 Africa,Czechia,imports_per_capita,16644.75826,23101.7777
Europe,Dem. Rep. Congo,imports_per_capita,69.22736572,545.2162123
Europe,Denmark,imports_per_capita,16838.72558,59822.09296
Middle East & North Africa,Djibouti,imports_per_capita,897.4696356,3408.846254
Latin America & Caribbean,Dominica,imports_per_capita,4306.39291,8300.375074
Latin America & Caribbean,Dominican Rep.,imports_per_capita,1889.257931,8282.116222
Latin America & Caribbean,Ecuador,imports_per_capita,1265.619886,6183.823825
Middle East & North Africa,Egypt,imports_per_capita,693.0122933,3020.03135
Latin America & Caribbean,El Salvador,imports_per_capita,1852.793737,4187.250031
 Africa,Eq. Guinea,imports_per_capita,1425.531991,8131.923888
 Africa,Eritrea,imports_per_capita,326.6391666,642.5076591
Europe,Estonia,imports_per_capita,13580.64431,23659.87229
 Africa,Ethiopia,imports_per_capita,13863.38483,857.501351
Europe,Fiji,imports_per_capita,3073.25045,"6,266.97"
Europe,Finland,imports_per_capita,13265.46008,48685.85399
Pacific,France,imports_per_capita,9976.158629,40493.92857
 Africa,Gabon,imports_per_capita,1365.212555,7667.366861
Asia,Georgia,imports_per_capita,2272.529578,4769.186543
Europe,Germany,imports_per_capita,14731.01134,46258.87829
 Africa,Ghana,imports_per_capita,432.3504631,2202.115567
Europe,Greece,imports_per_capita,5969.306117,19582.53601
Europe,Greenland,imports_per_capita,14606.30615,54470.95639
Latin America & Caribbean,Grenada,imports_per_capita,4176.923829,10965.51316
Latin America & Caribbean,Guatemala,imports_per_capita,1109.755493,4619.987097
 Africa,Guinea,imports_per_capita,256.5866596,1064.131237
 Africa,Guinea-Bissau,imports_per_capita,165.4470704,697.7844029
Latin America & Caribbean,Guyana,imports_per_capita,3559.840926,5468.356629
Latin America & Caribbean,Haiti,imports_per_capita,389.9749249,754.5879177
Latin America & Caribbean,Honduras,imports_per_capita,1208.558805,2574.912191
