Region,Country,GDP per capita,Indicator,Exports
Pacific,Vanuatu,3058.065675,Exports,48.55579011
Latin America & Caribbean,"Venezuela, RB",16054.49051,Exports,16.69382735
Asia,Vietnam,2715.276036,Exports,106.79555
 Africa,Zambia,1291.343357,Exports,35.02139052
 Africa,Zimbabwe,1463.98591,Exports,19.0006092
Asia,Afghanistan,502.1154869,Imports,37.8673794
Europe,Albania,5352.857411,Imports,45.21707662
Middle East & North Africa,Algeria,3948.343279,Imports,29.47462331
Latin America & Caribbean,Antigua and Barbuda,17790.30931,Imports,47.80097092
Latin America & Caribbean,Argentina,10006.14897,Imports,15.10344797
Asia,Armenia,4622.733493,Imports,52.9099483
Pacific,Australia,54907.10191,Imports,21.55516047
Europe,Austria,50277.27509,Imports,52.00309088
Asia,Azerbaijan,4793.58702,Imports,36.86426464
Latin America & Caribbean,"Bahamas, The",32933.48601,Imports,41.27007123
Middle East & North Africa,Bahrain,23503.97713,Imports,71.83764747
Asia,Bangladesh,1855.739824,Imports,21.43605231
Latin America & Caribbean,Barbados,18148.24493,Imports,41.68355059
Europe,Belarus,6663.295293,Imports,66.91463619
Europe,Belgium,46116.69923,Imports,81.56409914
Latin America & Caribbean,Belize,4815.163711,Imports,58.00782139
 Africa,Benin,1219.432672,Imports,34.05080512
Asia,Bhutan,3243.231126,Imports,55.89158793
Latin America & Caribbean,Bolivia,3552.068762,Imports,31.43004429
Europe,Bosnia and Herzegovina,6073.265203,Imports,55.72801959
 Africa,Botswana,7961.33814,Imports,40.52300238
Latin America & Caribbean,Brazil,8717.186278,Imports,14.65420479
Asia,Brunei Darussalam,31086.75108,Imports,50.5636179
Europe,Bulgaria,9737.601351,Imports,60.14917588
 Africa,Burkina Faso,774.8396902,Imports,32.4518207
 Africa,Burundi,261.2474725,Imports,32.72616867
 Africa,Cabo Verde,3603.781794,Imports,65.3501024
Asia,Cambodia,1643.121389,Imports,62.46522725
 Africa,Cameroon,1497.909176,Imports,23.9966836
North America,Canada,46194.72523,Imports,33.33223374
 Africa,Central African Republic,467.9074406,Imports,47.47980242
 Africa,Chad,709.5403101,Imports,37.82827212
Latin America & Caribbean,Chile,14896.45387,Imports,28.56190425
Asia,China,10261.67913,Imports,17.26489362
Latin America & Caribbean,Colombia,6432.387583,Imports,22.20068814
 Africa,Comoros,1393.522372,Imports,29.84654492
 Africa,"Congo, Dem. Rep.",545.2162123,Imports,35.22178372
 Africa,"Congo, Rep.",2011.072399,Imports,34.80312905
Latin America & Caribbean,Costa Rica,12238.37496,Imports,32.34597479
 Africa,Cote d'Ivoire,2286.162777,Imports,22.08574099
Europe,Croatia,14853.23984,Imports,51.70456534
Latin America & Caribbean,Cuba,8821.818891,Imports,12.59310359
Europe,Cyprus,27858.371,Imports,71.51789132
Europe,Czech Republic,23101.7777,Imports,69.39076909
Europe,Denmark,59822.09296,Imports,49.13459944
Middle East & North Africa,Djibouti,3408.846254,Imports,143.5530089
Latin America & Caribbean,Dominica,8300.375074,Imports,88.22088002
Latin America & Caribbean,Dominican Republic,8282.116222,Imports,29.2875093
Latin America & Caribbean,Ecuador,6183.823825,Imports,23.34987362
Middle East & North Africa,"Egypt, Arab Rep.",3020.03135,Imports,29.36629558
Latin America & Caribbean,El Salvador,4187.250031,Imports,47.63720347
 Africa,Equatorial Guinea,8131.923888,Imports,52.24744124
 Africa,Eritrea,642.5076591,Imports,29.23895286
Europe,Estonia,23659.87229,Imports,68.58120427
