Region,Country,Duty-Free (%),Preference in Competing Markets (%),Tariffs (%),Trade Openness (%),GDP per capita,Duty-Free,Preference in Competing Markets,Tariffs,Trade Openness
Europe,Portugal,91.1,48.5,1.69,87.641209,23145.04082,0.911,0.52094522,0.093473451,0.172480067
Middle East & North Africa,Qatar,94.1,3.5,3.68,86.54736253,64781.7332,0.941,0.037593985,0.203539823,0.169399919
Europe,Romania,34.2,51.1,1.69,84.55986923,12919.52964,0.342,0.54887218,0.093473451,0.163803363
Europe,Russia,94.8,12.4,3.51,49.07406987,11584.99538,0.948,0.133190118,0.194137168,0.063879362
 Africa,Rwanda,39.7,34.3,4.08,53.66138286,801.656187,0.397,0.368421053,0.225663717,0.076796717
Middle East & North Africa,Saudi Arabia,63.6,16,4.85,62.16307122,23139.79866,0.636,0.171858217,0.268252212,0.100736511
 Africa,Senegal,27.3,56.1,11.52,60.50640246,1446.830965,0.273,0.602577873,0.637168142,0.096071519
Europe,Serbia,9,51.3,6.03,112.6441269,7402.354559,0.09,0.551020408,0.333517699,0.242885458
 Africa,Sierra Leone,80.2,10.6,10.31,56.69583064,504.4625434,0.802,0.113856069,0.570243363,0.085341379
Asia & Pacific,Singapore,0.3,34,0.24,319.1483816,65233.28244,0.003,0.365198711,0.013274336,0.8243781
Europe,Slovakia,100,51,1.69,185.2499461,19329.0968,1,0.547798067,0.093473451,0.447335239
Europe,Slovenia,94.6,53.5,1.69,159.7361203,25739.24781,0.946,0.574650913,0.093473451,0.375491189
 Africa,South Africa,92.9,34.1,4.32,59.20453606,31761.97769,0.929,0.366272825,0.238938053,0.09240561
Asia & Pacific,South Korea,74,13,4.83,76.7093951,6001.400814,0.74,0.139634801,0.267146018,0.141697315
Europe,Spain,88.2,57.1,1.69,66.91706863,29613.67114,0.882,0.613319012,0.093473451,0.11412323
Asia & Pacific,Sri Lanka,63.3,14.8,12.08,52.37086358,3853.083693,0.633,0.158968851,0.668141593,0.073162761
Europe,Sweden,87.8,39.5,1.69,90.48590435,51610.06606,0.878,0.424274973,0.093473451,0.180490408
Europe,Switzerland,94.2,24.4,1.7,119.4384956,81993.72715,0.942,0.262083781,0.094026549,0.262017632
Asia & Pacific,Taiwan,66.8,7.8,6.37,102.1132,26910,0.668,0.083780881,0.352323009,0.213231558
Asia & Pacific,Tajikistan,22.9,12.5,4.98,56.64274416,870.7875893,0.229,0.134264232,0.275442478,0.085191894
 Africa,Tanzania,57.6,58.6,8.55,32.23894101,1122.12181,0.576,0.62943072,0.47289823,0.016473542
Asia & Pacific,Thailand,75.3,33.5,3.52,110.2991956,7808.192916,0.753,0.359828142,0.194690265,0.236282396
 Africa,The Gambia,21.4,58.5,18.08,65.48444814,751.2946884,0.214,0.628356606,1,0.110089133
Middle East & North Africa,Tunisia,80.4,52.8,9.35,110.5351873,3317.541013,0.804,0.567132116,0.517146018,0.236946922
Asia & Pacific,Turkey,70.6,40.9,2.5,61.39449997,9042.492983,0.706,0.439312567,0.138274336,0.098572301
 Africa,Uganda,61.3,72.3,8.01,46.0188627,776.7685759,0.613,0.776584318,0.443030973,0.055276244
Europe,Ukraine,60.4,24.1,1.56,90.17379013,3659.031312,0.604,0.258861439,0.086283186,0.179611529
Middle East & North Africa,United Arab Emirates,36,8.2,4.4,160.9360929,43103.32306,0.36,0.088077336,0.243362832,0.378870176
Europe,United Kingdom,84.2,32.4,1.69,64.25367784,42300.26713,0.842,0.348012889,0.093473451,0.106623423
North America,United States of America,77.3,23.5,1.59,26.38872679,65118.35833,0.773,0.252416756,0.087942478,0
Latin America & Caribbean,Uruguay,56.9,40.8,5.35,41.03010203,16190.12696,0.569,0.438238453,0.29590708,0.041228458
Latin America & Caribbean,Venezuela,26.7,10.2,8.87,48.09081353,16054.49051,0.267,0.109559613,0.490597345,0.061110623
Asia & Pacific,Vietnam,70.9,31.7,4.39,210.4002453,2715.276036,0.709,0.340494092,0.242809735,0.518155639
 Africa,Zambia,80.5,42.9,3.39,70.03503475,1291.343357,0.805,0.460794844,0.1875,0.12290307
 Africa,Zimbabwe,64.3,55.7,4.99,50.00536144,1463.98591,0.643,0.598281418,0.275995575,0.066501774
